,timestamp,top_accel_x,top_accel_y,top_accel_z,top_mag_x,top_mag_y,top_mag_z,top_gy_x,top_gy_y,top_gy_z,top_q0,top_qx,top_qy,top_qz,top_yaw,top_pitch,top_roll,top_temperature,bottom_accel_x,bottom_accel_y,bottom_accel_z,bottom_mag_x,bottom_mag_y,bottom_mag_z,bottom_gy_x,bottom_gy_y,bottom_gy_z,bottom_q0,bottom_qx,bottom_qy,bottom_qz,bottom_yaw,bottom_pitch,bottom_roll,bottom_temperature,action
0,4501481,376.83,-2000.00,1005.80,-16.96,-27.15,-39.92,-359,-214,-79,0.33,-0.12,-0.54,0.77,140.21,-9.27,-66.69,28.34,-334.29,-2000.00,856.75,10.21,-22.87,-109.60,-359,-214,-79,0.32,-0.14,-0.53,0.77,139.65,-7.42,-66.33,27.54,male1_walking0
1,4501537,3.54,-2000.00,1048.03,-24.02,-32.29,-8.45,-381,-212,-121,0.32,-0.15,-0.53,0.77,139.18,-6.45,-66.61,28.34,-639.22,-2000.00,626.28,0.89,8.30,-138.15,-381,-212,-121,0.33,-0.18,-0.53,0.76,136.83,-4.37,-68.42,27.55,male1_walking0
2,4501594,21.12,-2000.00,306.58,-57.63,2.53,36.90,-381,-212,-121,0.31,-0.21,-0.57,0.73,136.80,-2.70,-74.39,28.35,14.83,-1939.94,691.10,35.29,2.66,-129.42,-381,-212,-121,0.33,-0.19,-0.56,0.74,135.66,-5.41,-72.43,27.54,male1_walking0
3,4501651,514.95,-2000.00,1001.65,-47.78,32.54,52.84,-381,-212,-121,0.34,-0.18,-0.55,0.74,135.10,-5.79,-71.10,28.35,566.47,-2000.00,1218.08,39.19,110.21,-99.19,-444,-118,-69,0.40,-0.16,-0.53,0.73,129.87,-10.58,-66.52,27.52,male1_walking0
4,4501707,1272.03,-2000.00,956.91,-47.24,37.21,78.81,-444,-118,-69,0.41,-0.15,-0.54,0.72,129.49,-13.75,-67.54,28.34,318.97,-1577.70,1051.57,-2.26,20.92,-4.93,-444,-118,-69,0.42,-0.15,-0.52,0.73,128.46,-12.39,-64.30,27.54,male1_walking0
5,4501764,805.60,-1877.87,1065.92,-22.37,14.40,112.66,-444,-118,-69,0.41,-0.15,-0.51,0.74,129.22,-11.68,-64.17,28.36,304.69,-1441.59,1302.92,-59.92,55.53,92.48,-456,-61,36,0.41,-0.17,-0.48,0.76,128.23,-7.67,-61.06,27.54,male1_walking0
6,4501821,892.52,-1777.34,1021.79,3.09,48.33,127.00,-456,-61,36,0.41,-0.16,-0.49,0.75,128.40,-8.88,-61.22,28.33,385.99,-1504.09,1160.16,-84.03,11.15,177.83,-456,-61,36,0.39,-0.18,-0.48,0.76,129.83,-5.69,-61.74,27.54,male1_walking0
7,4501876,756.96,-1755.00,990.30,23.64,33.60,119.06,-456,-61,36,0.39,-0.17,-0.49,0.76,130.02,-7.48,-61.51,28.33,371.28,-1628.54,1011.60,-107.22,5.66,232.91,-346,-56,119,0.35,-0.20,-0.48,0.78,133.14,-1.61,-62.63,27.56,male1_walking0
8,4501933,693.91,-1738.46,808.78,10.10,37.25,91.99,-346,-56,119,0.35,-0.18,-0.49,0.78,133.54,-3.52,-62.61,28.33,322.14,-1736.39,977.23,-113.43,-22.90,249.99,-346,-56,119,0.30,-0.20,-0.49,0.79,137.19,1.15,-64.62,27.54,male1_walking0
9,4501989,640.20,-1814.82,909.06,26.28,28.98,50.93,-346,-56,119,0.32,-0.18,-0.50,0.79,137.06,-2.48,-63.39,28.34,21.00,-2000.00,656.49,-106.42,-53.85,249.99,-346,-56,119,0.26,-0.21,-0.52,0.79,141.13,3.34,-67.89,27.56,male1_walking0
